time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
122131,0,56,61,42645,46814,9551,28113,16037,5872,1584,536,67,
122133,0,61,67,644004,55224,9476,13967,18901,10194,17581,3128,67,
122134,0,61,77,14530,12651,26462,14920,17034,15105,14067,16412,67,
122135,0,56,51,298378,347792,19475,7688,10480,12581,4728,2790,67,
122136,0,61,54,704953,33431,16698,13457,34057,18175,9700,3913,67,
122137,0,61,43,50228,283942,32826,16245,22527,22500,9536,3977,67,
122138,0,56,23,50171,51912,8028,5856,7933,9221,9033,7049,67,
122139,0,61,38,1640912,544869,106919,50607,107219,38026,55987,11123,58,
122140,0,51,38,1699830,267465,73313,41727,22393,22992,21707,22433,99,
122141,0,48,47,793520,492094,114902,28031,22783,28196,16184,8606,91,
122142,0,38,56,1208958,179147,13875,86726,38667,8840,4239,5212,59,
122143,0,40,67,1791855,251909,132864,54944,19627,27133,24274,4483,35,
122144,0,40,51,978034,137803,9570,5298,8665,10581,6432,6583,68,
122145,0,43,57,1321734,301822,68999,104500,53951,32467,12016,12246,68,
122146,0,51,43,42947,42579,3890,6616,27199,6558,8961,4954,68,
122147,0,60,40,502029,25830,16019,9323,22131,10048,10756,1836,67,
122149,0,56,43,212737,443163,39486,25525,43682,20587,4618,2795,67,
122150,0,43,60,214393,174482,65949,41036,17601,13771,9843,4978,67,
122151,0,40,69,40562,26208,30056,10819,4336,10076,6733,2168,67,
122153,0,41,81,238634,144855,41767,11970,14052,8831,6616,4430,61,
122154,0,57,53,671934,134385,21721,4605,13413,21466,8387,5997,47,
122155,0,53,44,241692,138945,9909,61713,6067,14210,16935,7583,47,
122156,0,64,40,14328,49680,5557,9835,13127,15860,17433,6077,47,
122157,0,67,48,154965,89965,38200,16057,35141,27994,12036,6552,47,
122158,0,64,64,324384,93534,49741,24547,20530,13539,14373,3394,47,
122159,0,66,50,130244,107852,12512,6883,11144,12061,10232,7540,47,
122200,0,69,64,7174,7273,16120,7416,14023,11657,4579,3193,47,
122201,0,60,61,394619,138078,30850,13032,14082,9661,14460,4940,47,
122202,0,67,57,50707,40498,22294,8076,9018,15695,5323,2815,47,
122203,0,70,80,94438,54000,18063,54063,15098,18759,24832,11855,47,
122204,0,63,77,7501,37340,3206,27093,12743,7478,10039,2984,47,
122205,0,63,81,190084,206188,66800,48262,51957,19170,15670,4232,47,
122206,0,64,69,29648,68531,13691,6309,8811,22633,5670,7164,47,
122207,0,60,51,641077,239416,44744,7982,6033,20768,13754,13151,47,
122208,0,57,43,189689,238761,24842,45432,23325,22075,7954,4651,47,
122209,0,57,41,53619,115343,30659,26548,24191,10941,15190,4160,47,
122210,0,57,57,40907,16715,19877,10887,8124,13192,12191,6251,47,
122211,0,64,56,316530,100813,4559,17038,18165,24056,9807,2598,74,
122212,0,66,47,148980,95718,9086,3121,2341,9592,2736,1007,74,
122213,0,70,60,79795,45559,96222,9655,24928,24186,4620,1974,74,
122214,0,60,40,1015182,310760,10526,46269,59814,22240,11124,5951,74,
122215,0,48,37,175264,74997,4731,6554,14089,2839,4811,3445,74,
122216,0,44,51,360121,53132,11392,11286,7447,4873,1752,1739,74,
122217,0,44,47,483245,64142,58415,9815,22225,18435,15499,6070,74,
122218,0,40,50,581377,175403,20450,18043,11375,5642,8375,6088,46,
122219,0,38,60,524813,318394,75157,30193,36292,10603,14397,4272,40,
122220,0,35,64,148903,67251,30990,11537,4299,4804,3721,2178,60,
122221,0,35,63,526876,77894,42588,23419,32475,17111,25038,4135,60,
122222,0,50,87,168480,8044,19961,21681,6755,11669,5430,3218,35,
122223,0,57,80,1291998,176853,13187,23205,21870,23598,7769,9127,35,
122224,0,64,69,61989,86454,13394,13193,10107,13032,5396,3297,35,
122226,0,67,69,11693,37166,15994,18825,10957,15409,8270,2035,35,
122227,0,70,54,435076,13644,27589,29750,23678,16559,4975,3911,35,
122228,0,74,69,32803,42602,44669,13489,11752,14410,7579,3571,35,
122229,0,77,61,422792,41790,10713,11619,15060,24242,7473,3061,35,
122230,0,69,74,314335,194219,8482,29760,19161,13970,7173,4226,35,
122232,0,69,56,69143,57287,16301,7550,15067,20371,8092,2620,35,
122233,0,51,26,242649,134316,18935,19723,22047,17973,17415,3789,35,
122234,0,50,27,582336,199736,36456,15632,24815,11758,11436,5224,35,
122235,0,44,35,362093,161425,63747,29660,31812,30740,18718,6641,35,
122236,0,48,53,478105,149443,54854,12925,9019,12384,8158,6033,35,
122237,0,50,41,650147,89286,6057,3389,3950,13524,16421,5803,35,
122238,0,50,56,743170,332489,216294,21275,26336,23619,43135,26497,35,
122239,0,51,51,575280,77569,17373,15575,34359,17958,12714,5832,35,
122240,0,63,54,46012,27710,16884,26400,25484,21753,6282,3060,35,
122241,0,61,63,573725,123478,17947,11454,18970,16567,9014,5703,35,
122242,0,70,57,1182571,61334,22638,18212,11031,19006,7678,5902,35,
122243,0,70,67,11208,31412,16432,9238,4183,8716,4310,3988,52,
122244,0,66,48,100543,62241,7366,1634,13461,8318,3316,2235,45,
122245,0,69,66,171137,18090,11668,19813,5928,9711,7307,2292,45,
122246,0,78,61,52459,10444,6337,2371,8028,12168,11740,11450,45,
122247,0,70,48,511278,261144,17800,35701,14632,18198,11116,4920,45,
122249,0,70,77,46453,40345,55470,7049,7171,14710,5098,5324,45,
